x	y	z
16	56	0.9976088534752392
16	58	0.9969619411656061
16	60	0.9971192646996067
16	62	0.9983064595858134
16	64	0.9992760150319845
16	66	0.9996327210587392
16	68	0.9996770878822235
16	70	0.9995066222058983
16	72	0.9991580377697031
16	74	0.9990861504512281
16	76	0.9994816541014883
16	78	0.9997974338793816
16	80	0.9999177399925793
16	82	0.9999537558682805
16	84	0.9999599251646993
16	86	0.9999510190278494
16	88	0.9999262295167094
16	90	0.9998730378822706
16	92	0.9997559250649454
16	94	0.9994781860193868
16	96	0.9987794424130024
16	98	0.9969626250619192
16	100	0.9922203662461182
18	0	7.637012256340606e-4
18	2	0.0019031103009248386
18	4	0.004734413841447854
18	6	0.011728419966554687
18	8	0.028754887524493112
18	10	0.06708738311838161
18	12	0.1349812262704423
18	14	0.2701797260678144
18	16	0.4949425272446968
18	18	0.7253241610001862
18	20	0.8906001442232068
18	22	0.9605236221409253
18	24	0.9847946443577718
18	26	0.9927730496228157
18	28	0.9957007116344349
18	30	0.9972443590417357
18	32	0.9980670007149415
18	34	0.9984019946695637
18	36	0.9984928159688176
18	38	0.998349179210718
18	40	0.9977744297659875
18	42	0.996747636615744
18	44	0.9962067574334577
18	46	0.99699588357184
18	48	0.9979738508572714
18	50	0.9984161370182907
18	52	0.998407190146062
18	54	0.9979901672079339
18	56	0.9971491334164304
18	58	0.9961414891052301
18	60	0.9961551410720767
18	62	0.9977241990951418
18	64	0.999098992581051
18	66	0.9995906089504596
18	68	0.9996349609651698
18	70	0.99928672668297025
18	72	0.9982174047232151
18	74	0.9974041326369469
18	76	0.9984066397146001
18	78	0.9994315616192037
18	80	0.9997996063114793
18	82	0.9998978460159326
18	84	0.9999138172676519
18	86	0.9998949666575512
18	88	0.9998469270285908
18	90	0.9997560695046308
18	92	0.9995778421538497
18	94	0.9991913898546017
18	96	0.9982938272174116
18	98	0.9961377338928853
18	100	0.9909604457694852
20	0	7.345674295065938e-4
20	2	0.0016573930509435851
20	4	0.0037352165917080766
20	6	0.008396037475384201
20	8	0.01876326276923648
20	10	0.04162727956167523
20	12	0.09249067655171604
20	14	0.19437008600455002
20	16	0.3664053031802337
20	18	0.6064562301626603
20	20	0.8174138058765072
20	22	0.9324961997538577
20	24	0.9757377507344219
20	26	0.988817197179634
20	28	0.9933175545268317
20	30	0.995587529061842
20	32	0.9969055463074024
20	34	0.997583260379842
20	36	0.9978069461108392
20	38	0.9975184204822194
20	40	0.9964779881354092
20	42	0.9949335056041203
20	44	0.9947975892857301
20	46	0.9966102543417275
20	48	0.9980300904005748
20	50	0.9984869838354459
20	52	0.998318960519792
20	54	0.9975877536929348
20	56	0.9963910294406401
20	58	0.9952077911820332
20	60	0.9952269558988571
20	62	0.9970635169500985
20	64	0.9988526322935576
20	66	0.9995349083063072
20	68	0.9996061436420245
20	70	0.9990600174584893
20	72	0.996476122737724
20	74	0.9926169163005487
20	76	0.994769871083516
20	78	0.9982688966745166
20	80	0.9994855812788793
20	82	0.9997704709839484
20	84	0.9998137079514086
20	86	0.999772156181484
20	88	0.9996767109881833
20	90	0.9995241538728789
20	92	0.9992637747070292
20	94	0.9987407713052837
20	96	0.9975953749061155
20	98	0.995005601023015
20	100	0.9891973186801911
22	0	6.51068684261725e-4
22	2	0.0013573594694490769
22	4	0.0028276789790399634
22	6	0.005881298860497122
22	8	0.012192796170492147
22	10	0.025968471897866153
22	12	0.06297573957514524
22	14	0.13625051422525158
22	16	0.2600056963339516
22	18	0.47590913109360183
22	20	0.7120034039079683
22	22	0.887105932485814
22	24	0.959675064241535
22	26	0.9823369720784408
22	28	0.9900960292759411
22	30	0.9931575023298688
22	32	0.9949745396111597
22	34	0.9963020830917187
22	36	0.9967897963751253
22	38	0.9961274468671635
22	40	0.9940576529619206
22	42	0.9917130014773009
22	44	0.9927535234076534
22	46	0.9961257294638814
